data,ora,CO,NO2,Nox,O3,PM10
12/05/2025, 1.00.00,"0.5",13,20,74,8
12/05/2025, 2.00.00,"0.5",12,19,73,8
12/05/2025, 3.00.00,"0.5",12,19,72,9
12/05/2025, 4.00.00,"0.5",13,20,71,10
12/05/2025, 5.00.00,"0.5",12,18,82,8
12/05/2025, 6.00.00,"0.5",17,25,76,8
12/05/2025, 7.00.00,"0.5",18,28,70,10
12/05/2025, 8.00.00,"0.5",21,35,64,15
12/05/2025, 9.00.00,"0.4",17,30,74,18
12/05/2025, 10.00.00,"0.4",19,30,83,18
12/05/2025, 11.00.00,"0.4",17,28,93,10
12/05/2025, 12.00.00,"0.4",20,33,94,10
12/05/2025, 13.00.00,"0.4",18,34,98,10
12/05/2025, 14.00.00,"0.4",18,28,99,13
12/05/2025, 15.00.00,"0.5",18,26,77,16
12/05/2025, 16.00.00,"0.6",23,37,64,9
12/05/2025, 17.00.00,"0.5",15,23,69,8
12/05/2025, 18.00.00,"0.7",24,43,58,17
12/05/2025, 19.00.00,"0.5",18,25,55,11
12/05/2025, 20.00.00,"0.5",21,30,59,12
12/05/2025, 21.00.00,"0.5",17,24,62,11
12/05/2025, 22.00.00,"0.5",13,20,73,11
12/05/2025, 23.00.00,"0.5",14,20,71,8
13/05/2025, 0.00.00,"0.5",13,20,69,4
13/05/2025, 1.00.00,"0.4",12,19,72,9
13/05/2025, 2.00.00,"0.5",12,19,74,11
13/05/2025, 3.00.00,"0.5",12,18,70,7
13/05/2025, 4.00.00,"0.5",12,19,64,8
13/05/2025, 5.00.00,"0.5",12,19,60,11
13/05/2025, 6.00.00,"0.5",16,24,54,14
13/05/2025, 7.00.00,"0.6",21,34,56,12
13/05/2025, 8.00.00,"0.5",30,50,63,12
13/05/2025, 9.00.00,"0.5",15,23,80,27
13/05/2025, 10.00.00,"0.4",15,23,73,21
13/05/2025, 11.00.00,"0.5",16,26,84,13
13/05/2025, 12.00.00,"0.5",15,24,94,13
13/05/2025, 13.00.00,"0.4",17,28,100,12
13/05/2025, 14.00.00,"0.5",18,29,101,13
13/05/2025, 15.00.00,"0.5",15,24,96,11
13/05/2025, 16.00.00,"0.5",17,27,94,7
13/05/2025, 17.00.00,"0.5",19,29,89,11
13/05/2025, 18.00.00,"0.5",21,31,94,20
13/05/2025, 19.00.00,"0.5",28,46,92,25
13/05/2025, 20.00.00,"0.5",34,44,74,15
13/05/2025, 21.00.00,"0.5",24,31,82,19
13/05/2025, 22.00.00,"0.5",19,26,80,13
13/05/2025, 23.00.00,"0.5",19,29,89,11
14/05/2025, 0.00.00,"0.5",38,45,54,18
14/05/2025, 1.00.00,"0.5",28,35,73,10
14/05/2025, 2.00.00,"0.5",18,25,76,10
14/05/2025, 3.00.00,"0.5",27,34,69,8
14/05/2025, 4.00.00,"0.5",38,45,54,18
14/05/2025, 5.00.00,"0.5",19,26,69,14
14/05/2025, 6.00.00,"0.5",37,45,54,17
14/05/2025, 7.00.00,"0.5",21,30,77,14
